Amount,Tip,Gender,Smoker,Day,Time,Partysize,TipPct
16.99,1.01,Female,No,Sun,Dinner,2,5.944673337
10.34,1.66,Male,No,Sun,Dinner,3,16.05415861
21.01,3.5,Male,No,Sun,Dinner,3,16.65873394
23.68,3.31,Male,No,Sun,Dinner,2,13.97804054
24.59,3.61,Female,No,Sun,Dinner,4,14.68076454
25.29,4.71,Male,No,Sun,Dinner,4,18.62396204
8.77,2.0,Male,No,Sun,Dinner,2,22.8050171
26.88,3.12,Male,No,Sun,Dinner,4,11.60714286
15.04,1.96,Male,No,Sun,Dinner,2,13.03191489
14.78,3.23,Male,No,Sun,Dinner,2,21.85385656
10.27,1.71,Male,No,Sun,Dinner,2,16.65043817
35.26,5.0,Female,No,Sun,Dinner,4,14.18037436
15.42,1.57,Male,No,Sun,Dinner,2,10.18158236
18.43,3.0,Male,No,Sun,Dinner,4,16.27780792
14.83,3.02,Female,No,Sun,Dinner,2,20.36412677
21.58,3.92,Male,No,Sun,Dinner,2,18.16496756
10.33,1.67,Female,No,Sun,Dinner,3,16.16650532
16.29,3.71,Male,No,Sun,Dinner,3,22.77470841
16.97,3.5,Female,No,Sun,Dinner,3,20.6246317
20.65,3.35,Male,No,Sat,Dinner,3,16.22276029
17.92,4.08,Male,No,Sat,Dinner,2,22.76785714
20.29,2.75,Female,No,Sat,Dinner,2,13.55347462
15.77,2.23,Female,No,Sat,Dinner,2,14.14077362
39.42,7.58,Male,No,Sat,Dinner,4,19.22881786
19.82,3.18,Male,No,Sat,Dinner,2,16.0443996
17.81,2.34,Male,No,Sat,Dinner,4,13.13868613
13.37,2.0,Male,No,Sat,Dinner,2,14.95886313
12.69,2.0,Male,No,Sat,Dinner,2,15.76044129
21.7,4.3,Male,No,Sat,Dinner,2,19.8156682
19.65,3.0,Female,No,Sat,Dinner,2,15.26717557
9.55,1.45,Male,No,Sat,Dinner,2,15.18324607
18.35,2.5,Male,No,Sat,Dinner,4,13.6239782
15.06,3.0,Female,No,Sat,Dinner,2,19.92031873
20.69,2.45,Female,No,Sat,Dinner,4,11.84146931
17.78,3.27,Male,No,Sat,Dinner,2,18.39145107
24.06,3.6,Male,No,Sat,Dinner,3,14.96259352
16.31,2.0,Male,No,Sat,Dinner,3,12.2624157
16.93,3.07,Female,No,Sat,Dinner,3,18.13349084
18.69,2.31,Male,No,Sat,Dinner,3,12.35955056
31.27,5.0,Male,No,Sat,Dinner,3,15.98976655
16.04,2.24,Male,No,Sat,Dinner,3,13.96508728
17.46,2.54,Male,No,Sun,Dinner,2,14.54753723
13.94,3.06,Male,No,Sun,Dinner,2,21.95121951
9.68,1.32,Male,No,Sun,Dinner,2,13.63636364
30.4,5.6,Male,No,Sun,Dinner,4,18.42105263
18.29,3.0,Male,No,Sun,Dinner,2,16.40240569
22.23,5.0,Male,No,Sun,Dinner,2,22.49212776
32.4,6.0,Male,No,Sun,Dinner,4,18.51851852
28.55,2.05,Male,No,Sun,Dinner,3,7.180385289
18.04,3.0,Male,No,Sun,Dinner,2,16.62971175
12.54,2.5,Male,No,Sun,Dinner,2,19.93620415
10.29,3.085,Female,No,Sun,Dinner,2,29.98056365
34.81,5.2,Female,No,Sun,Dinner,4,14.93823614
9.94,1.56,Male,No,Sun,Dinner,2,15.69416499
25.56,4.34,Male,No,Sun,Dinner,4,16.97965571
19.49,3.51,Male,No,Sun,Dinner,2,18.00923551
38.01,3.0,Male,Yes,Sat,Dinner,4,7.892659826
26.41,1.5,Female,No,Sat,Dinner,2,5.679666793
11.24,1.76,Male,Yes,Sat,Dinner,2,15.65836299
48.27,6.73,Male,No,Sat,Dinner,4,13.94240729
20.29,3.21,Male,Yes,Sat,Dinner,2,15.82060128
13.81,2.0,Male,Yes,Sat,Dinner,2,14.48225923
11.02,1.98,Male,Yes,Sat,Dinner,2,17.96733212
18.29,3.76,Male,Yes,Sat,Dinner,4,20.55768179
17.59,2.64,Male,No,Sat,Dinner,3,15.00852757
20.08,3.15,Male,No,Sat,Dinner,3,15.687251
16.45,2.47,Female,No,Sat,Dinner,2,15.01519757
3.07,1.0,Female,Yes,Sat,Dinner,1,32.5732899
20.23,2.01,Male,No,Sat,Dinner,2,9.935739001
15.01,2.09,Male,Yes,Sat,Dinner,2,13.92405063
12.02,1.97,Male,No,Sat,Dinner,2,16.38935108
17.07,3.0,Female,No,Sat,Dinner,3,17.57469244
26.86,3.14,Female,Yes,Sat,Dinner,2,11.69024572
25.28,5.0,Female,Yes,Sat,Dinner,2,19.77848101
14.73,2.2,Female,No,Sat,Dinner,2,14.93550577
10.51,1.25,Male,No,Sat,Dinner,2,11.89343482
17.92,3.08,Male,Yes,Sat,Dinner,2,17.1875
27.2,4.0,Male,No,Thur,Lunch,4,14.70588235
22.76,3.0,Male,No,Thur,Lunch,2,13.18101933
17.29,2.71,Male,No,Thur,Lunch,2,15.67379988
19.44,3.0,Male,Yes,Thur,Lunch,2,15.43209877
16.66,3.4,Male,No,Thur,Lunch,2,20.40816327
10.07,1.83,Female,No,Thur,Lunch,1,18.17279047
32.68,5.0,Male,Yes,Thur,Lunch,2,15.2998776
15.98,2.03,Male,No,Thur,Lunch,2,12.70337922
34.83,5.17,Female,No,Thur,Lunch,4,14.8435257
13.03,2.0,Male,No,Thur,Lunch,2,15.34919417
18.28,4.0,Male,No,Thur,Lunch,2,21.88183807
24.71,5.85,Male,No,Thur,Lunch,2,23.67462566
21.16,2.26,Male,No,Thur,Lunch,2,10.6805293
28.97,3.0,Male,Yes,Fri,Dinner,2,10.35554021
22.49,3.5,Male,No,Fri,Dinner,2,15.56247221
5.75,1.0,Female,Yes,Fri,Dinner,2,17.39130435
16.32,4.3,Female,Yes,Fri,Dinner,2,26.34803922
22.75,3.25,Female,No,Fri,Dinner,2,14.28571429
40.17,4.73,Male,Yes,Fri,Dinner,4,11.77495644
27.28,4.0,Male,Yes,Fri,Dinner,2,14.6627566
12.03,1.5,Male,Yes,Fri,Lunch,2,12.46882793
21.01,3.0,Male,Yes,Fri,Dinner,2,14.2789148
12.46,1.5,Male,No,Fri,Dinner,2,12.03852327
11.35,2.5,Female,Yes,Fri,Dinner,2,22.02643172
15.38,3.0,Female,Yes,Fri,Dinner,2,19.50585176
44.3,2.5,Female,Yes,Sat,Dinner,3,5.643340858
22.42,2.64,Female,Yes,Sat,Dinner,2,11.77520071
20.92,4.08,Female,No,Sat,Dinner,2,19.50286807
15.36,1.64,Male,Yes,Sat,Dinner,2,10.67708333
20.49,4.06,Male,Yes,Sat,Dinner,2,19.81454368
25.21,4.29,Male,Yes,Sat,Dinner,2,17.01705672
18.24,3.76,Male,No,Sat,Dinner,2,20.61403509
14.31,4.0,Female,Yes,Sat,Dinner,2,27.95248078
14.0,3.0,Male,No,Sat,Dinner,2,21.42857143
7.25,1.0,Female,No,Sat,Dinner,1,13.79310345
38.07,4.0,Male,Yes,Sun,Dinner,3,10.50696086
23.95,2.55,Male,No,Sun,Dinner,2,10.64718163
25.71,4.0,Female,No,Sun,Dinner,3,15.55814858
29.93,5.07,Male,No,Sun,Dinner,4,16.93952556
10.65,1.5,Female,No,Thur,Lunch,2,14.08450704
12.43,1.8,Female,No,Thur,Lunch,2,14.48109413
24.08,2.92,Female,No,Thur,Lunch,2,12.12624585
11.69,2.31,Male,No,Thur,Lunch,2,19.76047904
13.42,1.68,Female,No,Thur,Lunch,2,12.51862891
14.26,2.5,Male,No,Thur,Lunch,2,17.5315568
15.95,2.0,Male,No,Thur,Lunch,2,12.53918495
12.48,2.52,Female,No,Thur,Lunch,2,20.19230769
29.8,4.2,Female,No,Thur,Lunch,2,14.09395973
8.52,1.48,Male,No,Thur,Lunch,2,17.37089202
14.52,2.0,Female,No,Thur,Lunch,2,13.77410468
22.82,2.18,Male,No,Thur,Lunch,3,9.553023663
