Amount,Tip,Gender,Smoker,Day,Time,Partysize,TipPct
16.99,1.01,Female,No,Sun,Dinner,2,5.9446733372572105
10.34,1.66,Male,No,Sun,Dinner,3,16.054158607350097
21.01,3.5,Male,No,Sun,Dinner,3,16.658733936220845
23.68,3.31,Male,No,Sun,Dinner,2,13.97804054054054
24.59,3.61,Female,No,Sun,Dinner,4,14.680764538430255
25.29,4.71,Male,No,Sun,Dinner,4,18.62396204033215
8.77,2.0,Male,No,Sun,Dinner,2,22.80501710376283
26.88,3.12,Male,No,Sun,Dinner,4,11.607142857142858
15.04,1.96,Male,No,Sun,Dinner,2,13.031914893617023
14.78,3.23,Male,No,Sun,Dinner,2,21.853856562922868
10.27,1.71,Male,No,Sun,Dinner,2,16.65043816942551
35.26,5.0,Female,No,Sun,Dinner,4,14.180374361883155
15.42,1.57,Male,No,Sun,Dinner,2,10.181582360570687
18.43,3.0,Male,No,Sun,Dinner,4,16.277807921866522
14.83,3.02,Female,No,Sun,Dinner,2,20.364126770060686
21.58,3.92,Male,No,Sun,Dinner,2,18.164967562557923
10.33,1.67,Female,No,Sun,Dinner,3,16.16650532429816
16.29,3.71,Male,No,Sun,Dinner,3,22.774708410067525
16.97,3.5,Female,No,Sun,Dinner,3,20.624631703005306
20.65,3.35,Male,No,Sat,Dinner,3,16.222760290556902
17.92,4.08,Male,No,Sat,Dinner,2,22.767857142857142
20.29,2.75,Female,No,Sat,Dinner,2,13.553474618038445
15.77,2.23,Female,No,Sat,Dinner,2,14.140773620798985
39.42,7.58,Male,No,Sat,Dinner,4,19.228817858954844
19.82,3.18,Male,No,Sat,Dinner,2,16.044399596367306
17.81,2.34,Male,No,Sat,Dinner,4,13.138686131386862
13.37,2.0,Male,No,Sat,Dinner,2,14.958863126402393
12.69,2.0,Male,No,Sat,Dinner,2,15.760441292356187
21.7,4.3,Male,No,Sat,Dinner,2,19.81566820276498
19.65,3.0,Female,No,Sat,Dinner,2,15.267175572519085
9.55,1.45,Male,No,Sat,Dinner,2,15.18324607329843
18.35,2.5,Male,No,Sat,Dinner,4,13.623978201634875
15.06,3.0,Female,No,Sat,Dinner,2,19.9203187250996
20.69,2.45,Female,No,Sat,Dinner,4,11.841469308844852
17.78,3.27,Male,No,Sat,Dinner,2,18.391451068616423
24.06,3.6,Male,No,Sat,Dinner,3,14.962593516209477
16.31,2.0,Male,No,Sat,Dinner,3,12.262415695892091
16.93,3.07,Female,No,Sat,Dinner,3,18.13349084465446
18.69,2.31,Male,No,Sat,Dinner,3,12.359550561797752
31.27,5.0,Male,No,Sat,Dinner,3,15.98976654940838
16.04,2.24,Male,No,Sat,Dinner,3,13.965087281795514
17.46,2.54,Male,No,Sun,Dinner,2,14.547537227949597
13.94,3.06,Male,No,Sun,Dinner,2,21.951219512195124
9.68,1.32,Male,No,Sun,Dinner,2,13.636363636363638
30.4,5.6,Male,No,Sun,Dinner,4,18.421052631578945
18.29,3.0,Male,No,Sun,Dinner,2,16.402405686167302
22.23,5.0,Male,No,Sun,Dinner,2,22.492127755285647
32.4,6.0,Male,No,Sun,Dinner,4,18.51851851851852
28.55,2.05,Male,No,Sun,Dinner,3,7.180385288966725
18.04,3.0,Male,No,Sun,Dinner,2,16.629711751662974
12.54,2.5,Male,No,Sun,Dinner,2,19.936204146730464
10.29,3.085,Female,No,Sun,Dinner,2,29.980563654033045
34.81,5.2,Female,No,Sun,Dinner,4,14.938236139040505
9.94,1.56,Male,No,Sun,Dinner,2,15.694164989939638
25.56,4.34,Male,No,Sun,Dinner,4,16.97965571205008
19.49,3.51,Male,No,Sun,Dinner,2,18.009235505387377
38.01,3.0,Male,Yes,Sat,Dinner,4,7.892659826361484
26.41,1.5,Female,No,Sat,Dinner,2,5.679666792881484
11.24,1.76,Male,Yes,Sat,Dinner,2,15.658362989323843
48.27,6.73,Male,No,Sat,Dinner,4,13.942407292314066
20.29,3.21,Male,Yes,Sat,Dinner,2,15.82060128141942
13.81,2.0,Male,Yes,Sat,Dinner,2,14.482259232440258
11.02,1.98,Male,Yes,Sat,Dinner,2,17.96733212341198
18.29,3.76,Male,Yes,Sat,Dinner,4,20.55768179332969
17.59,2.64,Male,No,Sat,Dinner,3,15.008527572484368
20.08,3.15,Male,No,Sat,Dinner,3,15.687250996015937
16.45,2.47,Female,No,Sat,Dinner,2,15.01519756838906
3.07,1.0,Female,Yes,Sat,Dinner,1,32.57328990228013
20.23,2.01,Male,No,Sat,Dinner,2,9.935739001482945
15.01,2.09,Male,Yes,Sat,Dinner,2,13.924050632911392
12.02,1.97,Male,No,Sat,Dinner,2,16.38935108153078
17.07,3.0,Female,No,Sat,Dinner,3,17.57469244288225
26.86,3.14,Female,Yes,Sat,Dinner,2,11.69024571854058
25.28,5.0,Female,Yes,Sat,Dinner,2,19.77848101265823
14.73,2.2,Female,No,Sat,Dinner,2,14.935505770536322
10.51,1.25,Male,No,Sat,Dinner,2,11.893434823977165
17.92,3.08,Male,Yes,Sat,Dinner,2,17.1875
27.2,4.0,Male,No,Thur,Lunch,4,14.705882352941178
22.76,3.0,Male,No,Thur,Lunch,2,13.181019332161686
17.29,2.71,Male,No,Thur,Lunch,2,15.6737998843262
19.44,3.0,Male,Yes,Thur,Lunch,2,15.432098765432098
16.66,3.4,Male,No,Thur,Lunch,2,20.408163265306122
10.07,1.83,Female,No,Thur,Lunch,1,18.17279046673287
32.68,5.0,Male,Yes,Thur,Lunch,2,15.299877600979192
15.98,2.03,Male,No,Thur,Lunch,2,12.703379224030037
34.83,5.17,Female,No,Thur,Lunch,4,14.843525696238874
13.03,2.0,Male,No,Thur,Lunch,2,15.349194167306218
18.28,4.0,Male,No,Thur,Lunch,2,21.88183807439825
24.71,5.85,Male,No,Thur,Lunch,2,23.674625657628486
21.16,2.3049999999999997,Male,No,Thur,Lunch,2,10.893194706994327
28.97,3.0,Male,Yes,Fri,Dinner,2,10.355540214014498
22.49,3.5,Male,No,Fri,Dinner,2,15.562472209871055
5.75,1.0,Female,Yes,Fri,Dinner,2,17.391304347826086
16.32,4.3,Female,Yes,Fri,Dinner,2,26.348039215686274
22.75,3.25,Female,No,Fri,Dinner,2,14.285714285714285
40.17,4.73,Male,Yes,Fri,Dinner,4,11.77495643515061
27.28,4.0,Male,Yes,Fri,Dinner,2,14.662756598240467
12.03,1.5,Male,Yes,Fri,Lunch,2,12.468827930174564
21.01,3.0,Male,Yes,Fri,Dinner,2,14.27891480247501
12.46,1.5,Male,No,Fri,Dinner,2,12.03852327447833
11.35,2.5,Female,Yes,Fri,Dinner,2,22.026431718061676
15.38,3.0,Female,Yes,Fri,Dinner,2,19.505851755526656
44.3,2.5,Female,Yes,Sat,Dinner,3,5.643340857787811
22.42,2.615,Female,Yes,Sat,Dinner,2,11.663693131132916
20.92,4.08,Female,No,Sat,Dinner,2,19.50286806883365
15.36,1.64,Male,Yes,Sat,Dinner,2,10.677083333333332
20.49,4.06,Male,Yes,Sat,Dinner,2,19.814543679843826
25.21,4.29,Male,Yes,Sat,Dinner,2,17.017056723522412
18.24,3.76,Male,No,Sat,Dinner,2,20.614035087719298
14.31,4.0,Female,Yes,Sat,Dinner,2,27.952480782669458
14.0,3.0,Male,No,Sat,Dinner,2,21.428571428571427
7.25,1.0,Female,No,Sat,Dinner,1,13.793103448275861
38.07,4.0,Male,Yes,Sun,Dinner,3,10.506960861570791
23.95,2.55,Male,No,Sun,Dinner,2,10.647181628392484
25.71,4.0,Female,No,Sun,Dinner,3,15.558148580318942
29.93,5.07,Male,No,Sun,Dinner,4,16.93952555963916
10.65,1.5,Female,No,Thur,Lunch,2,14.084507042253522
12.43,1.8,Female,No,Thur,Lunch,2,14.481094127111827
24.08,2.92,Female,No,Thur,Lunch,2,12.12624584717608
11.69,2.31,Male,No,Thur,Lunch,2,19.760479041916167
13.42,1.68,Female,No,Thur,Lunch,2,12.518628912071533
14.26,2.5,Male,No,Thur,Lunch,2,17.53155680224404
15.95,2.0,Male,No,Thur,Lunch,2,12.539184952978058
12.48,2.52,Female,No,Thur,Lunch,2,20.192307692307693
29.8,4.2,Female,No,Thur,Lunch,2,14.093959731543624
8.52,1.48,Male,No,Thur,Lunch,2,17.370892018779344
14.52,2.0,Female,No,Thur,Lunch,2,13.774104683195592
22.82,2.18,Male,No,Thur,Lunch,3,9.55302366345311
19.08,1.5,Male,No,Thur,Lunch,2,7.8616352201257875
20.27,2.83,Female,No,Thur,Lunch,2,13.961519486926493
11.17,1.5,Female,No,Thur,Lunch,2,13.428827215756492
12.26,2.0,Female,No,Thur,Lunch,2,16.31321370309951
18.26,3.25,Female,No,Thur,Lunch,2,17.798466593647316
8.51,1.25,Female,No,Thur,Lunch,2,14.688601645123384
10.33,2.0,Female,No,Thur,Lunch,2,19.36108422071636
14.15,2.0,Female,No,Thur,Lunch,2,14.13427561837456
16.0,2.0,Male,Yes,Thur,Lunch,2,12.5
13.16,2.75,Female,No,Thur,Lunch,2,20.89665653495441
17.47,3.5,Female,No,Thur,Lunch,2,20.034344590726963
34.3,6.7,Male,No,Thur,Lunch,6,19.533527696793005
41.19,5.0,Male,No,Thur,Lunch,5,12.138868657441128
27.05,5.0,Female,No,Thur,Lunch,6,18.484288354898336
16.43,2.3,Female,No,Thur,Lunch,2,13.998782714546559
8.35,1.5,Female,No,Thur,Lunch,2,17.964071856287426
18.64,1.36,Female,No,Thur,Lunch,3,7.296137339055794
11.87,1.63,Female,No,Thur,Lunch,2,13.732097725358045
9.78,1.73,Male,No,Thur,Lunch,2,17.68916155419223
7.51,2.0,Male,No,Thur,Lunch,2,26.63115845539281
14.07,2.5,Male,No,Sun,Dinner,2,17.768301350390903
13.13,2.0,Male,No,Sun,Dinner,2,15.232292460015232
17.26,2.74,Male,No,Sun,Dinner,3,15.874855156431053
24.55,2.0,Male,No,Sun,Dinner,4,8.146639511201629
19.77,2.0,Male,No,Sun,Dinner,4,10.116337885685383
29.85,5.14,Female,No,Sun,Dinner,5,17.219430485762143
48.17,5.0,Male,No,Sun,Dinner,6,10.379904504878555
25.0,3.75,Female,No,Sun,Dinner,4,15.0
13.39,2.61,Female,No,Sun,Dinner,2,19.49215832710978
16.49,2.0,Male,No,Sun,Dinner,4,12.128562765312312
21.5,3.5,Male,No,Sun,Dinner,4,16.27906976744186
12.66,2.5,Male,No,Sun,Dinner,2,19.747235387045812
16.21,2.0,Female,No,Sun,Dinner,3,12.338062924120912
13.81,2.0,Male,No,Sun,Dinner,2,14.482259232440258
17.51,3.0,Female,Yes,Sun,Dinner,2,17.133066818960593
24.52,3.48,Male,No,Sun,Dinner,3,14.192495921696574
20.76,2.24,Male,No,Sun,Dinner,2,10.789980732177264
31.71,4.5,Male,No,Sun,Dinner,4,14.191106906338694
10.59,1.61,Female,Yes,Sat,Dinner,2,15.203021718602455
10.63,2.0,Female,Yes,Sat,Dinner,2,18.814675446848543
50.81,10.0,Male,Yes,Sat,Dinner,3,19.681165124975397
117.81,3.16,Male,Yes,Sat,Dinner,2,2.6822850352262115
7.25,3.085,Male,Yes,Sun,Dinner,2,42.55172413793103
16.82,4.0,Male,Yes,Sun,Dinner,2,23.781212841854934
32.9,3.11,Male,Yes,Sun,Dinner,2,9.45288753799392
17.89,2.0,Male,Yes,Sun,Dinner,2,11.179429849077696
14.48,2.0,Male,Yes,Sun,Dinner,2,13.812154696132598
96.6,4.0,Female,Yes,Sun,Dinner,2,4.140786749482402
34.63,3.55,Male,Yes,Sun,Dinner,2,10.2512272596015
34.65,3.68,Male,Yes,Sun,Dinner,4,10.620490620490623
23.33,5.65,Male,Yes,Sun,Dinner,2,24.21774539219889
45.35,3.5,Male,Yes,Sun,Dinner,3,7.717750826901875
23.17,6.5,Male,Yes,Sun,Dinner,4,28.05351747949935
40.55,3.0,Male,Yes,Sun,Dinner,2,7.398273736128237
20.69,5.0,Male,No,Sun,Dinner,5,24.166263895601737
20.9,3.5,Female,No,Sun,Dinner,3,16.74641148325359
18.15,3.5,Female,Yes,Sun,Dinner,3,19.28374655647383
23.1,4.0,Male,Yes,Sun,Dinner,3,17.316017316017316
15.69,1.5,Male,Yes,Sun,Dinner,2,9.560229445506693
19.81,4.19,Female,Yes,Thur,Lunch,2,21.150933871781934
28.44,2.56,Male,Yes,Thur,Lunch,2,9.0014064697609
15.48,2.02,Male,Yes,Thur,Lunch,2,13.049095607235142
16.58,4.0,Male,Yes,Thur,Lunch,2,24.12545235223161
7.56,1.44,Male,No,Thur,Lunch,2,19.047619047619047
10.34,2.0,Male,Yes,Thur,Lunch,2,19.342359767891683
10.34,2.0,Male,Yes,Thur,Lunch,2,19.342359767891683
